broad_id,BDB Target,DC Target,DRH Target,TTD Target,Merged Target
BRD-K78177893,"BMPR2, CHEK1, LIMK1, COQ8A, HIPK3, MAPK8, TRPM6, PLK4, NUAK1, CDK14, ABL2, EPHB6, YES1, KDR, CSNK1G2, CDK7, CSNK1G1, HUNK, CASK, CDK19, MYLK4, EGFR, PIM3, CHEK2, CILK1, COQ8B, EPHA3, BMP2K, TLK1, GAK, PRKCD, SRPK3, MAPK3, HCK, MYO3A, DAPK1, NUAK2, NEK5, MAST1, EPHA8, TYRO3, LOC102724428, ABL1, RPS6KB1, ERN1, TNK1, BMX, DYRK1A, EPHA2, FGFR3, MAPK12, CAMK1G, BRSK1, IKBKE, STK39, PRKACA, CAMK1D, MAP3K20, RPS6KA1, STK24, DYRK2, SRMS, CDK5, STK26, WEE2, MAPKAPK5, FRK, CDK8, MAPK11, PAK5, FGFR1, IKBKB, MAPK14, ITK, ERBB3, RPS6KA6, CDC42BPB, EIF2AK2, JAK3, AURKA, BRAF, STK36, LTK, DSTYK, PRKCQ, RET, SNRK, JAK1, MYLK3, PIK3CA, LRRK2, PRKD1, PIP4K2B, BUB1B-PAK6, PAK4, TTK, MAP3K1, PLK3, MAP3K15, ULK1, ACVR2A, CSNK2A1, NEK7, MAPKAPK2, SLK, PIM2, MARK2, AAK1, EIF2AK4, PDGFRB, TAOK3, CSNK1G3, CAMK2B, ACVR2B, MAPK10, TGFBR2, TYK2, MAP3K2, CSNK1A1, TESK1, MAP3K4, CDK2, STK10, CDKL5, MYLK, PHKG2, MAP3K19, TEC, MAP4K1, MAP4K3, RPS6KA3, NEK9, MAPK9, CAMK4, RIOK2, NEK3, DMPK, SRPK1, INSRR, OXSR1, DAPK3, HIPK2, RPS6KA4, ULK3, PLK2, CDK11A, DCLK3, MTOR, PIK3C2G, MAP2K3, NLK, STK17A, MET, MAPK13, EPHA6, MAP3K6, MYLK2, CDKL3, PIP5K1C, LATS2, EPHA5, SYK, MAP2K2, PRKCE, CDK17, SRPK2, INSR, ERBB4, ROCK2, CAMKK1, EPHB4, MERTK, PIK3CD, IGF1R, PRKCH, MAP3K10, SBK3, MAPK6, GRK1, CSNK1A1L, AURKC, STK32A, LATS1, MAP3K13, GRK7, CSNK2A2, MAP4K4, LIMK2, PKN2, STK38L, IRAK4, HIPK4, MAP3K7, MAK, CIT, FGFR2, TNK2, TSSK1B, MAP2K4, DAPK2, CLK4, BTK, PLK1, MATK, MUSK, PTK6, ULK2, MAP3K12, CHUK, CDK13, MKNK1, RAF1, VRK2, ZAP70, MKNK2, BLK, MAP3K11, JAK2, CLK1, PIP4K2C, FLT1, TIE1, MAPK15, MAP2K5, PRKD2, BRSK2, PTK2, GSK3B, SBK1, AKT3, TEK, PHKG1, PDGFRA, TAOK1, CAMK1, CLK2, STK35, STK25, RIOK1, CDK15, EIF2AK1, EPHB1, NEK4, STK3, STK32B, DDR1, ROCK1, EPHB2, MINK1, RIOK3, ALK, PIK3C2B, STK32C, PRKACB, MAP2K6, WEE1, CDK4, PKN1, FLT3, PIP5K1A, PRKD3, CDK11B, TNNI3K, MYO3B, MAPK1, ACVR1, IRAK3, CAMK2A, TLK2, MAP2K1, LYN, CDC42BPG, PIK3CG, DCLK2, STK11, PDPK1, C8orf44-SGK3, ANKK1, PKMYT1, CAMKK2, EPHA4, FLT4, NIM1K, DCLK1, MARK4, GSK3A, CSK, ACVR1B, NEK11, PRKG2, CDC42BPA, DDR2, PIK3CB, AURKB, STK38, STK33, HIPK1, NEK6, GRK4, EPHB3, PRKG1, MAPK4, MAP3K3, PRKX, RPS6KA5, CDK9, RPS6KA2",,"AKT1, PKIA, PRKACA","AKT1, MAPK1, PRKCD, CHEK1, KDR, RPS6KA3, SRC, MAPKAPK2, ROCK1, FLT3, FLT1, PDPK1, CDK2, GSK3B, KCNH2, PRKCG, KIT","BMPR2, CHEK1, LIMK1, COQ8A, HIPK3, MAPK8, TRPM6, PLK4, NUAK1, CDK14, ABL2, EPHB6, YES1, KDR, CSNK1G2, CDK7, CSNK1G1, HUNK, CASK, CDK19, MYLK4, EGFR, PIM3, CHEK2, CILK1, COQ8B, EPHA3, BMP2K, TLK1, GAK, PRKCD, SRPK3, MAPK3, HCK, MYO3A, DAPK1, NUAK2, NEK5, MAST1, EPHA8, TYRO3, LOC102724428, ABL1, PKIA, RPS6KB1, ERN1, TNK1, BMX, DYRK1A, EPHA2, FGFR3, MAPK12, PRKCG, CAMK1G, BRSK1, IKBKE, STK39, PRKACA, CAMK1D, MAP3K20, RPS6KA1, STK24, DYRK2, SRMS, CDK5, STK26, WEE2, MAPKAPK5, FRK, CDK8, MAPK11, PAK5, FGFR1, IKBKB, MAPK14, ITK, ERBB3, RPS6KA6, CDC42BPB, EIF2AK2, JAK3, AURKA, BRAF, STK36, LTK, DSTYK, PRKCQ, RET, SNRK, JAK1, MYLK3, PIK3CA, LRRK2, PRKD1, PIP4K2B, BUB1B-PAK6, PAK4, TTK, MAP3K1, PLK3, MAP3K15, ULK1, ACVR2A, CSNK2A1, NEK7, MAPKAPK2, SLK, PIM2, MARK2, AAK1, EIF2AK4, PDGFRB, TAOK3, CSNK1G3, CAMK2B, ACVR2B, MAPK10, TGFBR2, TYK2, MAP3K2, CSNK1A1, TESK1, MAP3K4, CDK2, STK10, CDKL5, MYLK, PHKG2, MAP3K19, TEC, MAP4K1, MAP4K3, RPS6KA3, NEK9, MAPK9, CAMK4, RIOK2, NEK3, DMPK, SRPK1, INSRR, OXSR1, DAPK3, HIPK2, RPS6KA4, ULK3, PLK2, CDK11A, DCLK3, MTOR, PIK3C2G, MAP2K3, NLK, STK17A, KIT, MET, MAPK13, EPHA6, MAP3K6, MYLK2, CDKL3, PIP5K1C, LATS2, EPHA5, SYK, MAP2K2, PRKCE, SRC, CDK17, SRPK2, INSR, ERBB4, ROCK2, CAMKK1, EPHB4, MERTK, PIK3CD, IGF1R, PRKCH, MAP3K10, SBK3, MAPK6, GRK1, CSNK1A1L, AURKC, STK32A, LATS1, MAP3K13, GRK7, CSNK2A2, MAP4K4, LIMK2, PKN2, STK38L, IRAK4, HIPK4, MAP3K7, MAK, CIT, FGFR2, TNK2, TSSK1B, MAP2K4, AKT1, DAPK2, CLK4, BTK, PLK1, MATK, MUSK, PTK6, ULK2, MAP3K12, CHUK, CDK13, MKNK1, RAF1, VRK2, ZAP70, MKNK2, BLK, MAP3K11, JAK2, CLK1, PIP4K2C, FLT1, TIE1, MAPK15, MAP2K5, PRKD2, BRSK2, PTK2, GSK3B, SBK1, AKT3, TEK, PHKG1, PDGFRA, TAOK1, CAMK1, CLK2, STK35, STK25, RIOK1, CDK15, EIF2AK1, EPHB1, NEK4, STK3, STK32B, DDR1, ROCK1, EPHB2, MINK1, RIOK3, ALK, PIK3C2B, STK32C, PRKACB, MAP2K6, WEE1, CDK4, PKN1, FLT3, PIP5K1A, PRKD3, CDK11B, TNNI3K, MYO3B, MAPK1, ACVR1, IRAK3, CAMK2A, TLK2, MAP2K1, LYN, CDC42BPG, PIK3CG, DCLK2, STK11, PDPK1, C8orf44-SGK3, ANKK1, PKMYT1, CAMKK2, EPHA4, FLT4, NIM1K, DCLK1, MARK4, GSK3A, CSK, ACVR1B, NEK11, PRKG2, CDC42BPA, DDR2, PIK3CB, AURKB, STK38, STK33, HIPK1, NEK6, GRK4, EPHB3, PRKG1, MAPK4, MAP3K3, PRKX, KCNH2, RPS6KA5, CDK9, RPS6KA2"
BRD-K03301001,,,,,
BRD-K41918892,"PRKAB1, PRKAG1",,,,"PRKAB1, PRKAG1"
BRD-K87665527,TRPV1,,TRPV1,,TRPV1
BRD-K28570407,"CCR1, KCNQ2, ADORA3, CCKAR, OPRL1, OPRK1, HRH1, SIGMAR1, OPRD1, TRPV1, P2RX2, HTR6, DRD2, CNR1, ADORA2A, OPRM1, P2RY2, HTR2C, TSPO, KCNQ3, HRH2, CHRM5, HTR1B, HTR3A, CHRM3, CNR2, ADORA1, CXCR2, P2RX3, HTR7, KCNH2",,SCN10A,"SCN2A, CCR1, KCNQ2, OPRL1, CCKAR, SCN9A, ADORA3, DRD4, OPRK1, DRD1, HRH1, SIGMAR1, OPRD1, TRPV1, HTR6, DRD2, ADRA2A, CNR1, ADORA2A, OPRM1, P2RY2, HTR2C, TSPO, HTR1A, SCN3A, HTR2A, KCNQ3, HRH2, CHRM5, SCN5A, HTR1B, HTR3A, CHRM3, CNR2, HTR5A, ADRA2B, DRD3, ADORA1, CXCR2, EDNRA, CHRM2, SCN10A, CACNA1B, P2RX3, ADRA1B, DRD5, CHRM1, CHRM4, HTR7, KCNH2","SCN2A, CCR1, KCNQ2, ADORA3, CCKAR, OPRL1, SCN9A, DRD4, OPRK1, DRD1, HRH1, SIGMAR1, OPRD1, TRPV1, P2RX2, HTR6, DRD2, ADRA2A, CNR1, ADORA2A, OPRM1, P2RY2, HTR2C, TSPO, HTR1A, SCN3A, HTR2A, KCNQ3, HRH2, CHRM5, HTR1B, SCN5A, HTR3A, CHRM3, CNR2, HTR5A, ADRA2B, DRD3, ADORA1, CXCR2, EDNRA, CHRM2, SCN10A, CACNA1B, P2RX3, ADRA1B, DRD5, CHRM1, CHRM4, HTR7, KCNH2"
BRD-K94313941,,,P2RX7,,P2RX7
BRD-K60427831,,,P2RX7,,P2RX7
BRD-K33059059,"KCNH2, CHRFAM7A, CYP3A4, CYP2C9",,"CHRNA3, CHRNA4, CHRNA7","CYP2D6, CYP2C9, CHRNA7, KCNH2, CYP3A4","CHRNA4, CYP2D6, CHRFAM7A, CHRNA7, CYP2C9, KCNH2, CHRNA3, CYP3A4"
BRD-K20239555,,,SCN10A,,SCN10A
BRD-K81614372,,,DGAT1,DGAT1,DGAT1
BRD-K99308908,KCNH2,,SCD,,"SCD, KCNH2"
BRD-K70744942,"TRPV3, TRPV1",,TRPA1,,"TRPA1, TRPV3, TRPV1"
BRD-K68982262,"HRH1, HRH4, HRH3, HRH2",,"ADORA1, AVPR1A, CCR1, CHRM1, CHRM2, CHRM3, CHRM4, DRD3, HTR1A, HTR1B, HTR2A, HTR2B, HTR3A, TACR2",,"HTR2B, CCR1, HRH1, HRH4, HTR1A, HRH3, HTR2A, AVPR1A, HRH2, HTR1B, HTR3A, CHRM3, DRD3, ADORA1, CHRM2, TACR2, CHRM1, CHRM4"
BRD-K13944729,,,"GABRA1, GABRA4, GABRB3",,"GABRB3, GABRA4, GABRA1"
BRD-K00003450,,,,,
BRD-K00003109,,,,,
BRD-K17443395,ALB,,,,ALB
BRD-K77432251,,,,,
BRD-K00004970,,,"GABBR1, GABBR2",,"GABBR2, GABBR1"
BRD-K65498798,"CCR1, CCR8","CCR1, CCR5, CCR8",MMP9,,"CCR1, CCR8, CCR5, MMP9"
BRD-K00003158,,GNRHR,GNRHR,,GNRHR
BRD-K00003108,,,,,
BRD-K01825984,,,SPHK2,,SPHK2
BRD-K33622447,"DYRK1A, CDK9, CDK4, CDK6, CDK1, CAMK1, CCND1, HIPK1, CDK5R1, CDK2, CCNK, CDK7, CCNH, CDK5, CCNT1","CDK4, CDK6, CDK1, CDK7, KCNH2, CDK9","CDK4, CDK6","DYRK1A, CDK4, CDK6, CDK1, CDK9-CCNT1, CDK2, PIM1, CDK7, KCNH2, CDK9","DYRK1A, CDK9, CDK4, CDK6, CDK1, CAMK1, CCND1, HIPK1, CDK9-CCNT1, CDK5R1, CDK2, CCNK, PIM1, CDK7, CCNH, KCNH2, CDK5, CCNT1"
BRD-K50071428,"ABCC3, CYP21A2, CYP11B1, CYP19A1, CYP17A1, ABCC4, CYP3A4",,"CYP11B1, CYP17A1","ABCB11, CYP11B1, ABCC2, CYP11B2, CYP17A1, CYP19A1, ABCC4, CYP3A4","ABCB11, ABCC3, CYP21A2, CYP11B1, ABCC2, CYP11B2, CYP19A1, CYP17A1, ABCC4, CYP3A4"
BRD-K24048528,"AR, CYP17A1","AR, CYP11B1, CYP11B2, CYP17A1, CYP3A4",CYP17A1,"AR, CYP17A1","AR, CYP11B1, CYP11B2, CYP17A1, CYP3A4"
BRD-K00004730,,,,,
BRD-A29844814,,,,,
BRD-K22749967,"HRH4, HRH3, HRH1, HRH2, KCNH2",,"HRH1, HRH2, HRH3","HRH3, KCNH2","HRH4, HRH3, HRH1, HRH2, KCNH2"
BRD-K97233161,,,PTAFR,,PTAFR
BRD-K11792081,"AHR, CYP2C19, CACNA1C, CYP2C9, CYP3A4",,"CACNA1G, CACNA1H, CACNA1I","NR1I2, CYP2D6, AHR, CYP2C9, CACNA1H, CYP3A4","NR1I2, AHR, CYP2C19, CYP2D6, CACNA1C, CYP2C9, CACNA1H, CACNA1I, CACNA1G, CYP3A4"
BRD-K36021395,ADK,,ADK,,ADK
BRD-K37714784,"DRD2, DRD4",,DRD4,"DRD2, HTR1A, DRD4","DRD2, HTR1A, DRD4"
BRD-K56301217,"BCL2A1, BCL2L2, MCL1, BCL2L1, BAD",,"BCL2, BCL2L1, BCL2L2","BCL2A1, BCL2L2, MCL1, BCL2L1, BCL2","BCL2A1, BCL2L2, MCL1, BCL2L1, BAD, BCL2"
BRD-K91623615,,,TUBB,,TUBB
BRD-K00004603,"PLA2G7, CYP2C19, CYP2C9, MGLL, CYP3A4",,,"PLA2G7, CYP2D6, ABHD6, MGLL, CYP2C9, CYP3A4","PLA2G7, CYP2D6, CYP2C19, ABHD6, CYP2C9, MGLL, CYP3A4"
BRD-K00003394,,,,,
BRD-K53788420,,,ESR2,,ESR2
BRD-K31144453,"RARA, RARG, RARB",,RARB,,"RARA, RARG, RARB"
BRD-K81548480,,,F2RL1,,F2RL1
BRD-A27911617,,,PARP2,,PARP2
BRD-K93176058,"RARA, RARB",,"RARA, RARB","RARA, RARB","RARA, RARB"
BRD-K15819326,"CYP2C19, PDGFRA, FLT3, PDGFRB, CYP2C9, CYP3A4",,"CSF1R, FLT3, KIT, PDGFRA, PDGFRB","CYP2D6, PDGFRA, FLT3, CYP2C9, CSF1R, KIT, CYP3A4","CYP2D6, CYP2C19, PDGFRA, FLT3, PDGFRB, CYP2C9, CSF1R, KIT, CYP3A4"
BRD-A49544621,,,UTS2R,,UTS2R
BRD-K53448858,,,,,
BRD-K64034691,"TEC, BTK, JAK3, ITK, LYN, EGFR, ERBB4, BMX","TEC, ERBB2, BTK, LYN, TXK, ERBB4, BMX",BTK,,"TEC, BTK, JAK3, ERBB2, ITK, LYN, TXK, EGFR, ERBB4, BMX"
BRD-K92517771,,,"PIK3CB, PIK3CD",,"PIK3CD, PIK3CB"
BRD-K26262077,,"GRIN3A, GABRG2, GRIN1, GRIN2C, GRIN3B, GABRB3, GRIN2D, GABRA1, GRIN2A, GRIN2B","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5",,"GRIN3A, GABRG2, GABRA4, GRIN2D, GRIN2A, GABRB1, GRIN2C, GABRA2, GABRE, GABRD, GRM5, GABRA6, GABRG3, GABRP, GABRA3, GABRB2, GRIN1, GABRB3, GABRQ, GRIN3B, GABRG1, GABRA1, GABRA5, GRIN2B"
BRD-K44276885,GAA,,"AMY2A, MGAM",,"AMY2A, GAA, MGAM"
BRD-K68633617,,,GRM5,,GRM5
BRD-K00003255,,,,,
BRD-A29260609,"SLC22A1, ADRB2, ADRB1, ADRB3","ADRB2, ADRB1",ADRB1,,"SLC22A1, ADRB3, ADRB2, ADRB1"
BRD-K07753030,"ABCC4, ABCC3, KCNH2",,SCN5A,"ABCC2, ABCB11, ABCC4, KCNH2","ABCB11, ABCC3, ABCC2, KCNH2, ABCC4, SCN5A"
BRD-K01825000,,,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",,"CHRM3, CHRM1, CHRM4, CHRM2, CHRM5"
BRD-K68538666,"ABCC4, ABCC3","MAPK1, PTGS2, TTR",PTGS2,"ABCB11, ABCC4, TTR","ABCB11, MAPK1, PTGS2, ABCC3, TTR, ABCC4"
BRD-K97417064,,,,,
BRD-K47195926,,,,,
BRD-K44004064,ADORA2B,ADORA2B,ADORA1,,"ADORA1, ADORA2B"
BRD-K13619941,,,,,
BRD-K00003531,,,,,
BRD-K67563174,,"PTGS1, GLO1, PTGS2","PTGS1, PTGS2",,"PTGS1, PTGS2, GLO1"
BRD-K36262466,,,"CES1, SELE, SELP",,"CES1, SELE, SELP"
BRD-A65051990,,,VKORC1,,VKORC1
BRD-K37814297,PRNP,"DRD1, DRD2, PRNP","ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A",,"ADRA1B, DRD1, HTR1A, PRNP, ADRA1A, HTR2A, DRD2"
BRD-K50850824,"CA9, CA2",,,,"CA2, CA9"
BRD-K11094367,,NAPRT,,,NAPRT
BRD-K99048103,,,,,
BRD-K43457670,"CA7, CA4, CHIA, ABCC3, CA5B, STS, PON1, CA1, CA5A, CA9, CA2, ABCC4, CA14, CA12, CA3","CA13, CA7, CA4, CA11, CA14, AQP1, CA5B, CA1, CA5A, CA9, CA2, CA6, CA12, CA3","AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7","ABCB11, CA7, CA4, CHIA, CA2, ABCC2, CA1, CA9, CA6, ABCC4, CA14, CA12","CA13, CA5B, ABCC2, CA12, CA14, CA4, STS, CA5A, CA9, CA6, PON1, CA3, CHIA, ABCC3, CA1, ABCB11, CA7, CA11, AQP1, CA2, ABCC4"
BRD-K52960356,,"ABCC8, KCNJ11","ABCC8, KCNJ1, KCNJ10, KCNJ11",,"KCNJ1, ABCC8, KCNJ10, KCNJ11"
BRD-K21615095,"CA2, HDAC1",CA2,MMP12,"Bact lef, MMP2, CA2, HDAC1","HDAC1, Bact lef, MMP2, MMP12, CA2"
BRD-K42938903,,DRD2,"DRD1, DRD2",,"DRD1, DRD2"
BRD-K46416130,,,,,
BRD-K79437791,,,PPARG,,PPARG
BRD-K27406233,,,,,
BRD-A44696962,,,"HSD11B1, HSD11B2",,"HSD11B1, HSD11B2"
BRD-K82381502,"NPY1R, NPY2R, CHRNA4, CHRM3, CHRFAM7A, CHRM5, CHRNA3, GALR3","CHRNB2, CHRNA4, CHRM3, CHRNA7, CHRM1, CHRM4, CHRM2, CHRM5","ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2","ABCB11, CHRM3, CHRNA7, CHRM1, CHRM4, CHRM2, CHRNA4-CHRNB2, CHRM5, CHRNA3-CHRNB4","ACHE, ABCB11, CHRNB2, CHRNA2, CHRM3, NPY1R, NPY2R, CHRNA4, CHRFAM7A, CHRNA7, CHRM1, CHRM4, CHRM2, CHRNA4-CHRNB2, CHRM5, CHRNA3, GALR3, CHRNA3-CHRNB4"
BRD-K59058747,HDAC1,"CYCS, VEGFA, SOD2, GSS, SLC7A11","ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11",,"GRIN3A, IKBKB, CYCS, VEGFA, GRIN1, HDAC1, SOD2, GSS, CHUK, GRIN2D, GRIN2A, ACY1, GRIN2B, SLC7A11, RELA"
BRD-K46585355,BCL2L11,,,,BCL2L11
BRD-K00004968,,,,,
BRD-K72215350,,,GAST,,GAST
BRD-A29520968,,,"HCAR2, HCAR3",,"HCAR2, HCAR3"
BRD-K63736853,"ABCC4, ABCC3, HCAR2",HCAR2,HCAR2,"ABCB11, ABCC4, HCAR2, ABCC2","ABCB11, ABCC3, HCAR2, ABCC2, ABCC4"
BRD-K74236708,,,,,
BRD-K62012036,"ABCC4, ABCC3","RARA, RARG, ABCB11","RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3",,"RXRB, ABCB11, RARB, ABCC3, RBP1, RXRA, RARG, RXRG, RARA, ABCC4, STAT3"
BRD-K13050541,,,CTPS1,,CTPS1
BRD-K31965398,,"HTR2B, MMP2, TOP2B, TOP2A, TOP1","TOP1, TOP2A",MMP2,"HTR2B, MMP2, TOP2B, TOP2A, TOP1"
BRD-K74363950,"CHRM3, CHRM5","CHRM3, CHRM1, CHRM4, CHRM2, CHRM5","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",,"CHRM3, CHRM1, CHRM4, CHRM2, CHRM5"
BRD-K00004720,,,,,
BRD-K00003303,,,,,
BRD-K66465025,,,,,
BRD-M87138257,,,HIF1A,,HIF1A
BRD-K97874492,HIF1A,,HIF1A,,HIF1A
BRD-M49658242,,,,,
BRD-K50163129,,"HRH1, ABCB1",HRH1,,"HRH1, ABCB1"
BRD-M00184283,,,,,
BRD-K34843150,EDNRB,,"EDNRA, EDNRB",,"EDNRA, EDNRB"
BRD-K19781342,"HCRTR2, CYP3A4, HCRTR1",,"HCRTR1, HCRTR2",,"HCRTR2, CYP3A4, HCRTR1"
BRD-K33483813,,,,,
BRD-K35936936,,,"KDR, TEK",,"TEK, KDR"
BRD-K16547679,,,,,
BRD-K08837089,,,,,
BRD-K00003220,,,,,
BRD-K82928847,"HDAC9, HDAC11, PSMB5, HDAC7, HDAC10, LTA4H, HDAC1, HDAC3, HDAC5, HDAC8, SIRT1, HDAC6, HDAC2, HDAC4",,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8","HDAC9, HDAC11, PSMB5, HDAC7, HDAC10, LTA4H, HDAC1, HDAC3, HDAC5, HDAC8, SIRT1, HDAC6, HDAC2, HDAC4","HDAC9, HDAC11, PSMB5, HDAC7, HDAC10, LTA4H, HDAC1, HDAC3, HDAC5, HDAC8, SIRT1, HDAC6, HDAC2, HDAC4"
BRD-K32318651,"TK1, ABCC4, PNP, ABCC3",PNP,PNP,"ABCB11, ABCC4, PNP, ABCC2","TK1, ABCB11, ABCC3, ABCC2, PNP, ABCC4"
BRD-K10226125,,,,,
BRD-K00004583,"CHRM3, CHRM5",,,,"CHRM3, CHRM5"
BRD-A80280426,,,AKR1B1,,AKR1B1
BRD-K33127281,"RARB, ABCC3, RARG, RARA, ABCC4","RARA, RARG, GLRA1, RARB","RARA, RARB, RARG, RXRA, RXRB, RXRG","ABCB11, GLRA1, RARB, ABCC2, RARG, RARA, ABCC4","RXRB, ABCB11, RARB, GLRA1, ABCC3, RXRA, ABCC2, RARG, RXRG, RARA, ABCC4"
BRD-A73427433,,,"AKR1B1, GPI, HK1, M6PR, PYGM",,"M6PR, GPI, PYGM, AKR1B1, HK1"
BRD-K37151368,,,CCR5,,CCR5
BRD-K00152668,,,"RARB, RARG",,"RARG, RARB"
BRD-K67789209,,,"HTR1A, HTR2A",,"HTR2A, HTR1A"
BRD-K00003499,,,,,
BRD-K43055376,,,,,
BRD-K77484724,"FGFR1, SLC22A6, PRPS1, PRPSAP2",,,,"PRPS1, SLC22A6, FGFR1, PRPSAP2"
BRD-K96159438,"ABCC4, ABCC3, SLC22A6",POLG,,,"ABCC3, POLG, SLC22A6, ABCC4"
BRD-K78097265,,,,,
BRD-K78185697,,,,,
BRD-K26060080,"HSP90AB1, XDH, CYP3A4, CDK1","PI4K2A, XDH, PI4KB, PI4K2B, PI4KA","ACACB, ACP1, APRT, MTAP, PECR, SRPK2","ABCB11, HSP90AB1, XDH, CDK1","ABCB11, PECR, MTAP, PI4K2A, XDH, ACP1, CDK1, HSP90AB1, PI4KB, PI4K2B, APRT, ACACB, PI4KA, SRPK2, CYP3A4"
BRD-K01577834,"SLC28A3, ADORA2B, ADORA3, GSK3B, SLC28A2, ADORA2A, SLC29A1, SLC28A1, GAPDH, EGFR, PRKCB, ADA, ADORA1, MAP3K7, PNP, HSPA8, IMPDH1, DOT1L, IMPDH2","ADORA2A, PI4K2A, ADA, AHCY, ADORA2B, ADORA3, ADORA1, ADK, GAPDH, MAP3K7, PI4K2B, DOT1L","ADORA1, ADORA2A, ADORA2B, ADORA3, PI4K2A, PI4K2B, TRPM4","ADORA2A, ERBB2, ADA, SLC29A1, ADORA2B, ADORA3, IMPDH1, GAPDH, ADORA1, PNP, DOT1L, EGFR, PRKCB, IMPDH2, SLC28A2","PI4K2A, SLC28A3, AHCY, ADORA2B, ADORA3, GSK3B, ADK, PI4K2B, SLC28A2, ADORA2A, SLC29A1, SLC28A1, GAPDH, EGFR, PRKCB, ADA, ADORA1, MAP3K7, PNP, HSPA8, ERBB2, IMPDH1, DOT1L, TRPM4, IMPDH2"
