broad_id,Target
BRD-K00003499,
BRD-K43055376,
BRD-K77484724,
BRD-K96159438,
BRD-K78097265,
BRD-K78185697,
BRD-K26060080,"ACACB, ACP1, APRT, MTAP, PECR, SRPK2"
BRD-K01577834,"ADORA1, ADORA2A, ADORA2B, ADORA3, PI4K2A, PI4K2B, TRPM4"
BRD-K85767870,"ACSL1, ACSS1, ACSS2, ADCY1, ADK, CREB1, FBP1, HINT1, PDE4B, PDE4D, PIM1, PRKAA1, PRKAB1, PRKAB2, PYGL, TRPM4"
BRD-K00003709,"ABCA1, ABCB1, ABCB11, ABCC2, ABCC8, ABCC9, ABCG1, ABL1, ABL2, ACSL1, ACSS1, ACSS2, ACVR1, ACVR1B, ACVRL1, ADCY1, ADRBK1, ADRBK2, AFG3L2, AKT1, ALK, AMHR2, APAF1, ARAF, ASNA1, ASNS, ASS1, CDK15, GPR17, ITPR1, NAE1, NT5C2, P2RY1, P2RY11, P2RY13, P2RY2, P2RY4, PRKAA1, RYR1, RYR2, RYR3, SLC25A4, TNK2, TRPM4, TRPM7"
BRD-K60907894,CHRNA1
BRD-K10656395,SLC22A6
BRD-K68810443,"ADIPOR1, ADIPOR2"
BRD-K39624409,OPRD1
BRD-K00003302,
BRD-K34870043,"DRD2, HTR1A"
BRD-A90926615,
BRD-K82343404,ADRA1A
BRD-K17368287,"HSD11B1, HSD11B2"
BRD-K77911775,GRM5
BRD-K56543881,GRM5
BRD-K40718343,"EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR"
BRD-K77634909,
BRD-K53205568,DRD2
BRD-K00003330,
BRD-K66175015,"EGFR, ERBB2, ERBB4"
BRD-K04210847,"ESR1, ESR2, ESRRG, PLD1, PRKCD, PRKCE, PRKCQ, PRKCZ"
BRD-K69247067,
BRD-K23791635,
BRD-K37793595,
BRD-K47816470,SORT1
BRD-K08310154,IGF1R
BRD-K00615600,PARP1
BRD-K47105409,"EGFR, JAK2, JAK3"
BRD-K34428485,CDK2
BRD-K81048131,
BRD-A56371469,IDH1
BRD-K04691817,IDH2
BRD-A78111609,METAP2
BRD-K49738308,"ADRA2C, ASIC3, CACNA1B, CHRNA1, GRIN1, KCNJ1, NISCH"
BRD-A18074780,NISCH
BRD-K70262971,"RXRA, RXRB, RXRG"
BRD-K32533226,RARA
BRD-K84698278,"HTR2A, HTR2B, HTR2C, MTNR1A, MTNR1B"
BRD-K91495480,
BRD-K10852420,FFAR4
BRD-A64808605,ADRA1B
BRD-K59339270,"PTGDR, PTGER1, PTGER2, PTGER3"
BRD-K89899948,CBFB
BRD-K85139301,TNK2
BRD-K00005347,
BRD-K76677554,"DRD2, DRD3, DRD4"
BRD-K09143580,SIRT2
BRD-K54907283,ALOX5
BRD-K26807903,
BRD-K44731351,MAPK14
BRD-K51784806,ACE
BRD-K80403280,
BRD-K96029467,
BRD-A33317514,
BRD-K00004718,
BRD-K53731810,STAT3
BRD-K01826783,SLC6A4
BRD-K42140276,GNRH1
BRD-K79131256,"TUBA1A, TUBB, TUBB4B"
BRD-A67060370,
BRD-K01825118,ADRB2
BRD-K55991142,HRH1
BRD-K47492008,PTGS1
BRD-A17407635,"CYP3A4, NR3C1, SERPINA6"
BRD-A84907376,"CHRM1, CHRM2, CHRM3, CHRM4, CHRNA7"
BRD-K06890060,ALDH2
BRD-K68928792,TOP2A
BRD-K11267252,"ALK, MET"
BRD-K75527158,"ATP6V1A, FDPS, PTPN4, PTPRE, PTPRS"
BRD-A42335949,PTPMT1
BRD-K49522529,"CYP27B1, VDR"
BRD-K51751936,
BRD-K01826519,"ADRA1A, ADRA1B, ADRA1D, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A"
BRD-K00005348,
BRD-K60102752,
BRD-K01827280,HRH1
BRD-K00004709,
BRD-K75295174,AURKA
BRD-K30020243,REN
BRD-K00003135,
BRD-K00003607,
BRD-K73191876,
BRD-A96407378,
BRD-A60402836,"TRPA1, TRPV1"
BRD-K86307448,XDH
BRD-K00004728,
BRD-K12872829,"ESR1, PGR, SLC6A9"
BRD-K33219225,TRPA1
BRD-K89634775,
BRD-K82677201,ATP1A1
BRD-K84810405,"HCRTR1, HCRTR2"
BRD-K67601717,"HTR1B, HTR1D"
BRD-K04851519,CASP8
BRD-K83003151,DPP4
BRD-K02074536,
BRD-K96391852,
BRD-K46742498,HTR3A
BRD-K00004697,
BRD-K91188791,CTSG
BRD-K54997624,"PIK3CA, PIK3CB, PIK3CD, PIK3CG"
BRD-K72536715,HMGCR
BRD-K87424134,
BRD-K00005238,
BRD-K33396764,"ELOVL4, FADS1, FADS2, FFAR1, FFAR4, PTGS2, SLC8A1, TRPV1"
BRD-K80028314,HRH3
BRD-K28308851,HRH3
BRD-K01826806,"HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR4"
BRD-A82892199,
BRD-A61850409,
BRD-K66896751,GABRA1
BRD-K01825817,"ADRB1, ADRB2"
BRD-K52459643,"CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGER1, PTGER2, PTGER4, PTGIR"
BRD-K35498378,AKR1B1
BRD-K21415491,
BRD-K00004605,
BRD-K00610438,HTR2A
BRD-A56675431,
BRD-K52681925,"CHRNA4, CHRNB2"
BRD-K78627070,"KDR, MET, TEK"
BRD-K50276048,PGR
BRD-K67043667,
BRD-K89055274,HTR1A
BRD-K83988098,HSP90AA1
BRD-K07857022,"OPRD1, OPRK1, OPRM1"
BRD-K87909389,"CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM"
BRD-K00003337,
BRD-K53979406,SLC6A9
BRD-A66116161,"CNR1, CNR2"
BRD-K59013864,ALOX5
BRD-K92000912,"CNR1, GPR18, GPR55"
BRD-K59419204,"CNR1, CNR2, GPR55"
BRD-K55462201,"CNR1, CNR2, FAAH, TRPV1"
BRD-K06854232,RARA
BRD-K63533170,"CNR1, CNR2"
BRD-K01826811,GRIN1
BRD-K70330367,"DRD2, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A"
BRD-K11244467,
BRD-K11292736,ACHE
BRD-K41185545,"EDNRA, EDNRB"
BRD-K56558538,CYP3A4
BRD-K00003244,
BRD-A36010170,NR3C1
BRD-K03019184,CXCR4
BRD-K41051431,
BRD-K42948882,"CCR5, CXCR4"
BRD-K48173020,
BRD-K00004966,
BRD-K00004726,
BRD-K51387999,ADRB2
BRD-K82122102,"PTGS1, PTGS2"
BRD-K50813454,XDH
BRD-K04374714,EIF2AK4
BRD-K43900408,
BRD-K32285926,MET
BRD-K64925568,MDM2
BRD-K21077415,PIK3CD
BRD-K27061362,MET
BRD-K90239174,
BRD-A01307728,CXCR3
BRD-K00010385,
BRD-K34185671,TRPV1
BRD-K86673452,"MAPK11, MAPK12, MAPK13, MAPK14"
BRD-K43802723,FFAR1
BRD-K97452254,"CDK4, CDK6, FLT3"
BRD-K01995783,TRPV1
BRD-A58947127,PIK3CD
BRD-K21782625,MET
BRD-K21728777,"AURKA, AURKB, AURKC"
BRD-K75114721,PRMT1
BRD-K24610819,ADRB3
BRD-K12568846,
BRD-K80262108,
BRD-A19401019,"MAOA, SLC6A2"
BRD-K73947551,"ALPPL2, ENPP1"
BRD-K88043978,
BRD-K97181089,"AOC1, ASIC1, ASIC2, ASIC3, PKD2, PKD2L1, PLAU, SCNN1A, SCNN1B, SCNN1D, SCNN1G, SLC9A1, TRPC7, TRPV2"
BRD-K24219278,"SLC6A2, SLC6A4"
BRD-K64931368,"LPA, PLAT, PLG"
BRD-A25234499,"CYP11A1, CYP19A1"
BRD-K25114078,"AKR1B1, NOS2, TIMP3"
BRD-A40777960,
BRD-K59998349,
BRD-A28318179,NOS2
BRD-A69917777,CHRM1
BRD-K97799481,"ADORA1, ADORA2A, ADORA2B, ADORA3, HDAC2, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A"
BRD-K87544030,"DHFR, SLC46A1"
BRD-K07762753,"CDK1, CDK2, CDK5"
BRD-K80267133,"ALOX5, CHUK, PLA2G2E, PTGS1, PTGS2"
BRD-K94837153,"ADORA3, IMPDH1"
BRD-K13421763,NOS2
BRD-K17561142,"ADRB1, CACNA1H, CACNA2D2, KCNA7, KCNH2"
BRD-K97643133,
BRD-K00003223,
BRD-A60197193,DRD2
BRD-A68942014,"SLC6A2, SLC6A3, SLC6A4"
BRD-K33335792,"ADRA1A, ADRA2A"
BRD-K53737926,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR2A, HTR2C, HTR6, HTR7, KCNA1, KCND2, KCND3, KCNQ2, KCNQ3, NTRK1, NTRK2, OPRD1, OPRK1, OPRM1, SIGMAR1, SLC6A2, SLC6A4"
BRD-K29530284,"FGF1, IL3, PDE4A, PDE4B, PDE4C, PDE4D, S100A12, S100A13"
BRD-K01825117,"CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1"
BRD-K83486494,"HSD11B1, HSD11B2, SLCO1B1, SLCO1B3"
BRD-M29182745,HCAR1
BRD-K32531356,PIM1
BRD-K23335153,GRM7
BRD-K91290917,HNMT
BRD-K56334280,"TOP2A, TOP2B"
BRD-A37390343,
BRD-K02265150,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2A, HTR2B, HTR2C, HTR3A, HTR6, HTR7, SLC6A2, SLC6A3, SLC6A4"
BRD-K55044200,"CYP2C19, SLC15A1, SLC15A2, SLC22A6"
BRD-K01826817,GRIN1
BRD-K92493880,"GRIA2, GRIN1"
BRD-K24771047,"GRIA1, GRIA2, GRIA3, GRIA4"
BRD-K52397688,"FAAH, HTR2A"
BRD-K27352494,
BRD-K68432770,
BRD-A39172021,"PTGS1, PTGS2"
BRD-K47827687,
BRD-K90027121,
BRD-K20484910,
BRD-K45924332,"PDE3A, PDE3B, PDE4B, TNF"
BRD-K13843533,"TOP2A, TOP2B"
BRD-K68346641,"KCNH2, TOP2A"
BRD-K39670393,HRH2
BRD-K70924353,"PTGS1, PTGS2"
BRD-K66538826,"KIT, MET"
BRD-K03504028,CASP3
BRD-K03326591,
BRD-A09062839,
BRD-K93502141,
BRD-K00256256,
BRD-K23952234,
BRD-K00003152,
BRD-K88443722,"ALOX5AP, CNR1, CNR2"
BRD-A19609491,NTRK2
BRD-K01826509,
BRD-K77118600,CETP
BRD-K05355328,DPP4
BRD-K62200014,PDE3A
BRD-K01174345,GHSR
BRD-K42352790,"CACNA1G, CACNA1H, CACNA1I, CNR1, CNR2, GLRA1, GPR18, GPR55, KCNA2, KCNK3, KCNK9, TRPM8, TRPV1"
BRD-K52172416,CYP19A1
BRD-K82164249,AR
BRD-K89282837,"IL1B, IL6, NFKB1, NFKB2, TNF"
BRD-A64011898,
BRD-K12329651,
BRD-K00005346,
BRD-K49060658,
BRD-K92490248,
BRD-K45724504,SLC5A1
BRD-K00003560,
BRD-K88611939,"DRD2, GRIA1, GRIA2, GRIA3, GRIA4, HTR2A"
BRD-K47458712,GGCX
BRD-A29623586,ADRA1A
BRD-K91370081,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1"
BRD-K71125570,
BRD-K36949735,"KDR, PDGFRB"
BRD-K55424922,HTR1B
BRD-K31170746,ADORA2A
BRD-K00003196,
BRD-K25863791,MAPK8
BRD-K01363385,CRHR1
BRD-K99300445,HRH1
BRD-K04725460,
BRD-K15957397,CDC25B
BRD-K00003675,
BRD-A74328360,
BRD-K90152265,CYCS
BRD-K15541734,
BRD-K21920947,
BRD-K32143970,TRPA1
BRD-K20001883,BRD3
BRD-K28115081,PTAFR
BRD-K91308639,
BRD-K00003492,
BRD-K25244359,"CSK, KDR, KIT, RET"
BRD-K07449869,AR
BRD-K72748448,"KIT, STAT3"
BRD-K86226872,GPR119
BRD-K10859802,GPR119
BRD-K85140930,
BRD-K26325692,SIGMAR1
BRD-K97840621,"AKT1, AKT2, AKT3"
BRD-K01493881,"AKR1B1, AR, CDK6, CFTR, CYP19A1, CYP1B1, HSD17B1"
BRD-K67121414,F10
BRD-K64990520,NOX4
BRD-K15164005,"BCHE, CES1"
BRD-A09004963,TP53
BRD-K38911213,"ADRA1A, ADRA2A, ADRA2B, ADRA2C"
BRD-K96737756,
BRD-K06883221,"ADAM17, MMP1, MMP13, MMP9"
BRD-K93208532,"PDE4A, PDE4B, PDE4C, PDE4D"
BRD-K52827117,TACR1
BRD-K55172746,
BRD-K53236343,"CALM1, SCN5A"
BRD-K00003524,
BRD-K63919159,GRIN1
BRD-K68003372,KLF4
BRD-K17511755,ERN1
BRD-K00004738,
BRD-K38627885,"IL12A, IL12B, PIKFYVE"
BRD-K28383148,MTOR
BRD-K56032964,"ALK, EGFR"
BRD-K81729199,CHRM2
BRD-K00003365,
BRD-K00004705,
BRD-K67860401,GSK3B
BRD-K42325600,"SLC16A1, SLC16A7"
BRD-K90497590,PDPK1
BRD-K13167095,HDAC1
BRD-K03070961,"CLCN2, KCNJ4, KCNK10, KCNK18, KCNK2, PRKCZ, PTGS1, TRPC6, TRPM2"
BRD-K00004646,
BRD-K73881242,CYP3A4
BRD-K08037784,TYR
BRD-K93188295,"ADRA2A, ADRA2B, ADRA2C"
BRD-K53523901,"CHUK, MAP2K1"
BRD-K72726508,"CCND1, CDK4"
BRD-K00003590,SERPIND1
BRD-K63792901,CHRM2
BRD-K23922020,"CHRM1, CHRM2, CHRM3, CHRM4"
BRD-K88646909,"CHRM1, CHRM2, CHRM3, CHRM4"
BRD-A48261811,F2
BRD-K00003332,
BRD-K62734952,"FNTA, NFKB1"
BRD-K70358946,"ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR6, HTR7"
BRD-K00004574,
BRD-K33852358,PDE4A
BRD-A28044053,ADRB3
BRD-K60171656,AKT2
BRD-K43436647,KIF11
BRD-K46386702,ERBB2
BRD-K24179883,LYZ
BRD-K32786395,"AKT1, CCND1, IKBKB, JUN, MAPK1, MAPK3, TXNRD1"
BRD-K39621635,ATP1A1
BRD-K13112821,CYP2B6
BRD-K96006160,
BRD-K54634444,
BRD-A70514680,
BRD-K49223707,"PTGS2, S100B"
BRD-A00047421,BRD4
BRD-K07656463,GPR119
BRD-K27051047,ROCK1
BRD-K61936403,INPP5D
BRD-K75254015,FFAR1
BRD-K73565918,IRAK4
BRD-K14988953,PIK3CG
BRD-K63915849,"PIK3CA, PIK3CG"
BRD-K89014967,"MAP2K1, MAP2K2"
BRD-K62427771,"KCNA3, KCNA5, KCNN4"
BRD-K27938825,
BRD-K00003230,
BRD-K88219015,PTGS2
BRD-K30331124,AR
BRD-K00003456,
BRD-K88882192,FKBP1A
BRD-A85242401,"SLC23A1, SLC23A2"
BRD-K00003551,"DRD2, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A"
BRD-K35079116,PYGM
BRD-K00003477,OPRK1
BRD-K00003138,
BRD-K07150325,SLC6A9
BRD-K82239282,
BRD-K00003301,
BRD-K78841970,"TAS1R2, TRPV1"
BRD-K11433652,"AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53"
BRD-K06542892,ALK
BRD-K26838195,"EGFR, ERBB2"
BRD-K51832961,
BRD-K37249724,"HRH1, KCNH1, KCNH2"
BRD-K44845912,
BRD-K08188887,
BRD-K00003508,
BRD-K87028197,
BRD-K36269323,"NOS2, NOS3"
BRD-K06496777,HTR2A
BRD-K83030136,
BRD-K13390322,"CDK1, CDK2, CDK4, CDK5, CDK6, CDK9"
BRD-K24576554,"AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A"
BRD-K94830329,DMD
BRD-K09757388,
BRD-A52551912,PTGER2
BRD-K68075732,
BRD-A20239487,"ADRB1, ADRB2, LTF, PLA2G2E"
BRD-K44993696,
BRD-K43363084,
BRD-K00003342,
BRD-K39252998,
BRD-K38527262,"JAK2, STAT3"
BRD-K76614248,"PDE4A, PDE4B, PDE4C, PDE4D"
BRD-K00521308,"ITGA5, ITGAV, ITGB1, ITGB3"
BRD-K20141153,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, SLC6A2, SLC6A3, SLC6A4"
BRD-K69726342,"AHR, DPP4, HMGCR"
BRD-A85261566,"AVPR1A, AVPR1B, AVPR2, OXTR"
BRD-A19795905,
BRD-A65145453,GRIK1
BRD-K00003732,
BRD-K01826774,
BRD-K16295392,EDNRA
BRD-K01825666,"CHRM1, CHRM2, CHRM3"
BRD-K00004526,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
BRD-K00003144,
BRD-K32127727,"AKT1, AKT2, AKT3, ROCK1, ROCK2, SGK3"
BRD-K58435339,HSP90AA1
BRD-K12040459,"AKT2, GSK3B, PKIA, PRKACA"
BRD-K45995181,"IKBKB, PRDX5, TRPA1"
BRD-K53561341,AURKA
BRD-K00003601,PRKCI
BRD-K00005330,
BRD-A94640958,ENPP2
BRD-K23190681,"EGFR, ERBB2"
BRD-K96615647,TACR1
BRD-K00003256,
BRD-A88644406,
BRD-K83720053,PSEN1
BRD-K65781196,PDE5A
BRD-K00003419,
BRD-K67901620,CES1
BRD-K68544925,MPL
BRD-K36154108,MRGPRX1
BRD-K00004734,
BRD-K00003435,
BRD-K85882401,
BRD-K00003294,
BRD-K87782578,"BTK, YES1"
BRD-K00003436,
BRD-K62196610,"IMPDH1, IMPDH2"
BRD-K14401183,
BRD-K00003224,
BRD-K26665484,
BRD-K00003479,
BRD-K29905972,"CSF1, FLT1, FLT4, KDR, PLK4"
BRD-K77012840,
BRD-K36258877,CASP3
BRD-K09907507,P2RX7
BRD-K05973499,DHH
BRD-K05804044,"BRAF, RAF1"
BRD-K14661019,
BRD-K03406345,"DNMT1, DNMT3A"
BRD-K97061094,HRH1
BRD-K53114651,PNP
BRD-K38292725,
BRD-K45861246,"DRD2, DRD3"
BRD-A70182876,PTGS2
BRD-K47464228,
BRD-K01826751,"HTR3A, HTR3B"
BRD-K77821588,HRH1
BRD-K32821942,"HPRT1, IMPDH1, PPAT"
BRD-K69555850,
BRD-K61041538,"GSK3A, GSK3B"
BRD-K21908111,"PIM1, PIM2, PIM3"
BRD-K77060810,P2RY12
BRD-K00003509,
BRD-A44188509,"CHRNA4, CHRNB2"
BRD-K65928735,"JAK1, JAK2, JAK3"
BRD-K83186168,PTGDR2
BRD-K99113996,MTOR
BRD-K85014146,
BRD-K85849709,GSK3B
BRD-K14287049,IKBKB
BRD-K24593301,"ALK, IGF1R"
BRD-K84996356,AR
BRD-K41626799,EGFR
BRD-K00004606,BACE1
BRD-K25210703,SLC16A1
BRD-K73984371,DGAT1
BRD-K72369578,"AGXT, AGXT2, ALAS1, ALAS2, BAAT, GARS, GATM, GCAT, GCSH, GLDC, GLRA1, GLRA2, GLRA3, GLRB, GLYAT, GLYATL1, GLYATL2, GNMT, GPR18, GPRC6A, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3B, GSS, PIPOX, SHMT1, SHMT2, SLC32A1, SLC36A1, SLC6A5, SLC6A9"
BRD-K28392481,"FGFR1, FGFR2, FGFR3, FGFR4, IGF1R, KDR"
BRD-K00003106,
BRD-K00003443,
BRD-K00003297,CXCR2
BRD-K00003528,
BRD-K99023089,"AKT1, AKT2, AKT3"
BRD-K72414522,KCNH2
BRD-K88767641,"BIRC2, BIRC3, XIAP"
BRD-K00005264,
BRD-K58772419,"PIK3CA, PIK3CB, PIK3CD, PIK3CG"
BRD-A36013532,ATR
BRD-A94033181,GRIN1
BRD-K52836380,PDK1
BRD-K00003100,
BRD-K31495718,DGAT1
BRD-K86525559,"CHEK1, CHEK2"
BRD-K00003398,
BRD-K69932463,MTOR
BRD-K47289408,"PIK3CB, PIK3CD"
BRD-K37687095,MAP3K1
BRD-K03336321,
BRD-K82894950,"PIK3CA, PIK3CD"
BRD-K98572433,"EGFR, ERBB2, ERBB3"
BRD-K13699028,
BRD-K61043483,GRM5
BRD-K73235735,ESR1
BRD-K31476763,ELANE
BRD-K08976401,"AKR1D1, SRD5A2, TYR"
BRD-A68888262,HRH1
BRD-K51899933,AGER
BRD-A01098288,CACNA1C
BRD-K81074237,"AGTR1, AGTR2"
BRD-K25723200,"AGTR1, AGTR2"
BRD-K38913877,KCNA5
BRD-K74501079,MLNR
BRD-K60663764,
BRD-K51329597,SRC
BRD-K87036601,
BRD-K26824830,
BRD-K68770713,"SLC12A1, SLC12A2"
BRD-K62607865,
BRD-K80935598,DYRK1B
BRD-K42436189,"ATR, MTOR"
BRD-K59146805,
BRD-K76244476,SMYD2
BRD-K81958169,EGFR
BRD-K00003515,
BRD-K64888243,JAK2
BRD-K57865272,
BRD-A30000356,PNKP
BRD-K77627880,"ICAM1, SELE"
BRD-A83650191,ADRA1A
BRD-K49055432,PIK3CA
BRD-A78952587,P2RX7
BRD-K72226571,CALY
BRD-K28861668,DGAT1
BRD-A41698174,
BRD-K14079729,IDE
BRD-K00003625,
BRD-K01826724,"GABBR1, GABBR2, KCTD12, KCTD16, KCTD8"
BRD-A16694057,PPARG
BRD-K82196541,"ABL1, BCR, LYN"
BRD-K00010387,
BRD-K00652956,PIK3CG
BRD-K72327355,"ALOX5, GLO1, PREP, SELL, SELP, TNF, XDH"
BRD-K49962337,PREP
BRD-K09785578,HIF1A
BRD-A00147595,PPARG
BRD-K47976015,
BRD-K27204852,CTSK
BRD-A47790386,
BRD-K00003496,
BRD-K00003495,
